customer_id,Total_Spending_2022_2023,Contribution_Percentage_2022_2023,Total_Spending_2023_2024,Contribution_Percentage_2023_2024
9,3795.6,3.6675688393858783,2574.3,2.141203126091687
16,420.0,0.405832783365494,354.1,0.29452667791207954
20,396.5,0.3831254728676628,632.1,0.5257563205541527
32,717.1,0.6929111641699899,785.4,0.65326532852908
40,238.60000000000002,0.23055167169287352,219.5,0.18257160633070166
48,466.90000000000003,0.4511507775079742,682.3,0.5675107380384407
49,982.6,0.9494554593688914,1253.9,1.0429454996722862
69,2389.8,2.309188537349661,1950.1,1.6220177198428303
77,2476.1,2.3925775116459516,3358.1,2.793137636533618
83,332.8,0.3215741673905629,286.0,0.23788373307781627
89,335.0,0.32369995816057257,253.0,0.21043561003037595
95,183.1,0.17692376817671893,1218.3999999999999,1.013417973363676
100,440.2,0.42535140770831065,829.5,0.689946002056114
101,568.6,0.5494202871943331,415.9,0.3459295265281951
114,363.5,0.3512386113175168,213.6,0.1776642146343411
127,374.5,0.36186756516756546,440.5,0.3663908546181051
128,1392.2,1.3452390500034304,807.3000000000001,0.6714809010969269
141,940.8,0.9090654347387065,0.0,0.0
145,686.8,0.6636332276557649,0.0,0.0
170,452.59999999999997,0.43733313750291086,132.6,0.11029154897244209
172,1878.4,1.8150388101755808,1998.6000000000001,1.6623581431095233
173,511.1,0.4938598466145333,576.1,0.4791776875039509
175,1594.0,1.540232039725232,2045.2,1.7011182198977268
189,926.2,0.8949579141740965,930.8,0.7742034221987111
191,1767.3000000000002,1.7076863762900896,1113.3,0.9259998602641009
194,868.3,0.8390109661815677,308.3,0.2564320101674502
195,1404.8,1.3574140335043952,1236.3999999999999,1.028389676844098
197,982.0,0.9488756982497978,628.7,0.522928332118962
228,294.0,0.2840829483558458,512.5,0.42627766853979315
231,1056.5,1.020862703870582,1211.3,1.007512468101954
233,1452.5,1.4035050424723332,272.8,0.22690448385884016
234,2293.9,2.216523385147873,2489.8,2.0709192958641505
240,732.4,0.7076950727068757,76.5,0.06362973979179351
260,401.2,0.387666934967229,820.2,0.6822106219245626
261,1068.9,1.0328444336651823,1310.1,1.0896904849833815
275,1178.1,1.1383609573402107,757.6999999999999,0.6302255403953195
276,1980.2,1.9134049467151222,402.9,0.3351166295701125
290,525.4,0.5076774866195964,223.1,0.18556594702678605
307,696.3,0.6728127787080797,683.3000000000001,0.5683424993429087
308,969.6,0.9368939684551976,1177.8,0.9796484644022798
324,610.8,0.5901968192372469,312.6,0.26000858377666214
374,454.40000000000003,0.43907242086019166,330.5,0.27489711112663734
392,988.0,0.9546733094407335,380.4,0.316402000219585
408,959.7,0.9273279099901539,875.4,0.7281238459311901
422,294.2,0.28427620206221027,691.3,0.5749965897786518
446,1812.9,1.7517482213412001,1721.5,1.431877085641471
450,508.1,0.4909610410190655,1610.9,1.3398842853673227
451,574.9,0.5555077789448155,454.2,0.3777859844893152
519,626.3,0.6051739814804973,650.8000000000001,0.5413102569477023
538,154.7,0.14948174187295696,275.6,0.22923341551135024
554,16.7,0.0161366844814375,612.0,0.5090379183343481
613,1032.7,0.9978655128132039,552.1999999999999,0.4592985923271683
620,999.4,0.9656887707035112,909.0,0.7560710257613112
632,669.3000000000001,0.6467235283488695,709.4,0.5900514693895205
638,564.9,0.5458450936265894,795.6,0.6617492938346525
651,1954.2,1.8882819648877343,837.9,0.6969327970136443
670,706.2,0.6823788371731235,889.8,0.7401012087155278
675,463.6,0.4479620913529596,81.10000000000001,0.06745584179234582
688,780.7,0.7543658427939076,239.7,0.199373184680953
721,669.5,0.6469167820552338,569.3,0.4735217106335692
744,659.4,0.6371574698838255,980.4,0.8154587829003185
754,1448.2,1.3993500877854963,1008.5,0.8388312755558661
791,888.6,0.8586262173775666,489.8,0.40739668692837205
830,453.2,0.43791289862200444,414.40000000000003,0.3446818845714933
839,1256.4,1.2140197833819206,0.0,0.0
857,733.9,0.7091444755046096,410.5,0.3414380154840685
860,212.9,0.20571857042503255,211.79999999999998,0.1761670442862989
861,1560.6,1.507958670762357,1909.8999999999999,1.588580915403221
862,422.0,0.40776532042913916,459.8,0.3824438477943354
885,96.8,0.09353479388042814,826.1999999999999,0.6872011897513699
971,417.7,0.40361036574230197,451.6,0.3756234050976987
973,536.9,0.5187895747355564,194.1,0.1614448691972173
993,485.79999999999995,0.4694132527594213,668.4,0.555949255906337
996,515.3,0.49791817444818814,108.8,0.09049562992610634
1017,232.8,0.22494731420830238,523.2,0.4351775144975996
1026,1007.4,0.973418918958092,320.40000000000003,0.2664963219515117
1044,215.9,0.20861737602050037,502.3,0.41779370323422066
1080,359.8,0.3476634177497732,693.1999999999999,0.5765769362571407
1132,389.0,0.37587845887899324,69.19999999999999,0.057557882269177914
1144,303.9,0.29364900682088957,449.8,0.37412623474965656
1148,745.8,0.7206430710332986,1156.4,0.961848772486667
1156,289.4,0.2796381131094618,381.8,0.31756646604584005
1168,428.8,0.41433594644553295,296.0,0.24620134612249517
1171,424.4,0.4100843649055134,1054.5,0.877092295561389
1190,786.8,0.7602600808380253,763.5999999999999,0.63513293209168
1191,367.1,0.35471717803207825,187.7,0.15612159684862278
1192,160.4,0.1549894725043458,1649.1,1.3716575671979958
1224,272.3,0.2631149212152953,963.4000000000001,0.8013188407243644
1253,274.9,0.265627219398034,767.8000000000001,0.6386263295704453
1255,591.4,0.5714512097198884,779.5999999999999,0.6484411129631663
1270,403.2,0.3895994720308742,428.5,0.3564097189644905
1279,125.2,0.12097682018419012,682.0,0.5672612096471004
1297,275.5,0.2662069805171276,338.5,0.2815512015623805
1303,99.2,0.09585383835680239,461.7,0.3840241942728244
1327,104.89999999999999,0.10136156898819122,1209.3999999999999,1.005932121623465
1342,230.29999999999998,0.22253164287874583,1239.2,1.0307186084966082
1367,142.0,0.1372101315188099,643.4,0.5351552232946398
1400,160.5,0.15508609935752807,3438.5,2.860011245412837
1413,5.1,0.004927969512295283,1437.1,1.1953241706508033
1421,0.0,0.0,677.8000000000001,0.5637678121683353
1463,0.0,0.0,1164.3,0.9684196867919633
1509,0.0,0.0,491.20000000000005,0.4085611527546272
1536,0.0,0.0,1730.8999999999999,1.4396956419034692
1574,0.0,0.0,390.8,0.32505231778605104
1641,0.0,0.0,403.3,0.33544933409189964
