customer_id,Total_Spending_2022_2023,Average_Daily_Spending_2022_2023,Actual_Lifetime_2022_2023(days),Total_Spending_2023_2024,Average_Daily_Spending_2023_2024,Actual_Lifetime_2023_2024(days),LTV_2022_2023($),LTV_2023_2024($)
170,452.59999999999997,1.257222222222222,360.0,132.6,0.3693593314763231,359.0,140.56741023035227,39.9461348560302
171,11.4,11.4,1.0,,,,1274.6103658536585,
172,1878.4,5.232311977715877,359.0,1998.6000000000001,5.505785123966943,363.0,585.0139547523609,595.449515709357
173,511.1,1.4197222222222223,360.0,576.1,1.5958448753462604,361.0,158.7361983401084,172.59029126213593
175,1594.0,4.3911845730027546,363.0,2045.2,5.618681318681319,364.0,490.96924343210367,607.6592156802976
176,25.0,25.0,1.0,,,,2795.1981707317073,
177,,,,25.6,25.6,1.0,,2768.6346740638005
182,320.9,0.9965838509316769,322.0,181.4,0.5168091168091168,351.0,111.42597428419934,55.89279846367225
185,67.7,5.641666666666667,12.0,55.5,0.23417721518987342,237.0,630.7830538617885,25.32621710353061
189,926.2,2.5799442896935934,359.0,930.8,2.674712643678161,348.0,288.4582223656498,289.269615954852
191,1767.3000000000002,4.909166666666668,360.0,1113.3,3.136056338028169,355.0,548.8837474593496,339.1638405188412
192,72.1,0.2303514376996805,313.0,123.0,0.36283185840707965,339.0,25.75511669134263,39.24019000159562
193,4.9,4.9,1.0,,,,547.8588414634146,
194,868.3,3.0044982698961937,289.0,308.3,0.9230538922155689,334.0,335.9267227192168,99.82808640693648
195,1404.8,3.8487671232876712,365.0,1236.3999999999999,3.406060606060606,363.0,430.32267290344134,368.36474593367797
197,982.0,2.7430167597765363,358.0,628.7,1.7319559228650139,363.0,306.6910171685515,187.31067273415024
199,18.2,0.08235294117647059,221.0,,,,9.207711621233859,
208,8.8,8.8,1.0,,,,983.909756097561,
209,,,,198.6,3.5464285714285713,56.0,,383.5455121854567
215,47.2,1.6275862068965519,29.0,201.0,0.8137651821862348,247.0,181.97703952901597,88.00853515416622
216,17.0,17.0,1.0,,,,1900.7347560975609,
220,,,,18.7,18.7,1.0,,2022.4011095700416
223,224.3,0.639031339031339,351.0,133.0,4.15625,32.0,71.44876919602528,449.497572815534
228,294.0,0.9735099337748344,302.0,512.5,1.653225806451613,310.0,108.8461274430625,178.79602702339943
231,1056.5,2.9024725274725274,364.0,1211.3,3.3835195530726256,358.0,324.5194359756097,365.92693574256737
